team,conference,rank,combo,rating_spplus,rating_fpi,rating_teamrankings,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
Ohio State,B1G,1,31.8,31.8,28.7,32.3,10.7758,8.09,0.8075,0.5356,0.2719,1.0
Oregon,B1G,2,28.3,28.3,25.3,29.5,9.6946,7.7781,0.6504,0.3082,0.3422,1.0
Notre Dame,Independent,3,25.8,25.8,25.9,29.1,11.3225,0.0,0.0,0.0,0.0,1.0
Georgia,SEC,4,25.5,25.5,24.8,28.4,9.5494,7.5908,0.7337,0.4693,0.2644,0.9997
Indiana,B1G,5,24.5,24.5,23.1,29.0,9.364,7.374,0.3452,0.1237,0.2215,0.9996
Texas,SEC,6,23.7,23.7,26.9,28.4,9.1062,6.8112,0.4219,0.2166,0.2053,0.9965
Texas Tech,B12,7,23.1,23.1,20.0,23.8,10.3941,8.4124,0.952,0.7239,0.2281,1.0
Miami-FL,ACC,8,21.0,21.0,21.8,25.3,9.315,8.0864,0.9002,0.6946,0.2056,0.9995
Texas A&M,SEC,9,20.3,20.3,20.0,22.7,7.6409,5.7178,0.1569,0.0643,0.0926,0.9479
LSU,SEC,10,20.2,20.2,20.0,22.1,8.3092,6.4643,0.3144,0.129,0.1854,0.9806
Alabama,SEC,11,18.2,18.2,20.1,21.6,7.6305,5.7807,0.1451,0.0523,0.0928,0.9406
Oklahoma,SEC,12,17.2,17.2,17.8,22.0,7.5355,5.1568,0.0604,0.0209,0.0395,0.9294
USC,B1G,13,16.8,16.8,17.0,20.9,8.0382,5.0921,0.0267,0.0064,0.0203,0.984
Michigan,B1G,14,16.1,16.1,15.9,19.8,7.8621,5.3019,0.027,0.0043,0.0227,0.9717
Tennessee,SEC,15,16.0,16.0,15.1,16.8,6.9723,5.2082,0.0734,0.0229,0.0505,0.8503
Ole Miss,SEC,16,15.9,15.9,16.0,22.3,6.2245,4.5507,0.0292,0.0097,0.0195,0.7013
Penn State,B1G,17,15.7,15.7,13.7,16.4,9.6905,6.7549,0.1067,0.0168,0.0899,0.9996
BYU,B12,18,15.5,15.5,13.1,14.6,8.298,7.1151,0.5159,0.1621,0.3538,0.9832
Florida,SEC,19,14.9,14.9,13.6,17.4,6.1794,4.546,0.0202,0.005,0.0152,0.6867
Missouri,SEC,20,14.8,14.8,12.2,15.4,6.4576,4.6932,0.0302,0.0066,0.0236,0.754
Washington,B1G,21,14.5,14.5,9.9,16.4,7.0511,5.1096,0.0176,0.0028,0.0148,0.9011
Iowa,B1G,22,13.6,13.6,10.6,13.9,7.3612,5.4569,0.0142,0.0017,0.0125,0.935
Clemson,ACC,23,12.8,12.8,13.4,11.6,7.1979,5.4585,0.1298,0.0477,0.0821,0.896
South Carolina,SEC,24,12.1,12.1,11.7,12.2,5.327,3.9444,0.0076,0.0018,0.0058,0.441
Utah,B12,25,11.9,11.9,8.5,12.8,8.0261,6.2344,0.244,0.0564,0.1876,0.965
Auburn,SEC,26,11.2,11.2,12.0,13.4,5.3602,3.6165,0.0041,0.0012,0.0029,0.4518
Louisville,ACC,27,11.0,11.0,9.5,13.7,7.5,6.5155,0.3803,0.1098,0.2705,0.9087
SMU,ACC,28,10.9,10.9,11.1,14.4,7.6269,6.5748,0.3419,0.0954,0.2465,0.9515
Kansas State,B12,29,10.4,10.4,5.1,10.2,7.9829,6.077,0.1204,0.0253,0.0951,0.9602
Arizona,B12,30,10.2,10.2,7.2,8.7,6.8113,4.9506,0.0549,0.0127,0.0422,0.8393
Vanderbilt,SEC,31,10.0,10.0,9.0,9.8,5.214,3.521,0.0029,0.0004,0.0025,0.4128
Virginia Tech,ACC,32,9.4,9.4,7.4,8.2,6.6711,5.1134,0.0657,0.0194,0.0463,0.8015
Illinois,B1G,33,9.3,9.3,6.3,9.2,6.205,4.5334,0.003,0.0003,0.0027,0.7041
TCU,B12,34,9.1,9.1,6.4,8.4,6.2687,4.6194,0.0444,0.0084,0.036,0.7055
Florida State,ACC,35,8.8,8.8,9.3,7.3,5.4611,4.0085,0.025,0.0051,0.0199,0.4878
Houston,B12,36,8.2,8.2,7.1,10.6,6.5152,4.704,0.0204,0.0038,0.0166,0.7728
Nebraska,B1G,37,7.7,7.7,8.8,8.0,5.0247,3.0811,0.0001,0.0001,0.0,0.3395
Oklahoma State,B12,38,7.1,7.1,3.3,6.7,5.6914,4.7367,0.0225,0.0044,0.0181,0.5583
Boise State,PAC12,39,6.8,6.8,4.0,6.7,8.6061,6.8773,0.9397,0.7498,0.1899,0.9935
Virginia,ACC,40,6.6,6.6,7.9,9.0,6.5693,4.8779,0.0437,0.0085,0.0352,0.7649
Pittsburgh,ACC,41,6.5,6.5,6.6,10.0,5.9686,4.3995,0.0216,0.0044,0.0172,0.6278
Arizona State,B12,42,6.4,6.4,4.8,8.7,4.9863,4.036,0.0102,0.0016,0.0086,0.3609
Georgia Tech,ACC,43,6.0,6.0,4.2,5.8,4.9958,4.0088,0.0091,0.0017,0.0074,0.3645
Duke,ACC,44,5.7,5.7,3.5,1.9,5.6541,4.435,0.0191,0.0039,0.0152,0.5358
Minnesota,B1G,45,5.2,5.2,0.6,8.1,4.8969,3.2703,0.0004,0.0,0.0004,0.3291
UCLA,B1G,46,5.1,5.1,0.5,8.2,5.9899,3.8203,0.0006,0.0001,0.0005,0.6416
Arkansas,SEC,47,5.0,5.0,4.4,4.7,2.6208,1.5316,0.0,0.0,0.0,0.0106
NC State,ACC,48,4.9,4.9,3.7,6.2,6.1972,4.9596,0.0458,0.0072,0.0386,0.685
Northwestern,B1G,49,4.6,4.6,1.4,4.8,4.2885,2.585,0.0001,0.0,0.0001,0.1586
Baylor,B12,50,4.5,4.5,6.5,4.6,4.7849,3.6178,0.0043,0.0007,0.0036,0.3061
Cincinnati,B12,51,4.5,4.5,4.4,0.3,4.6518,3.1159,0.003,0.0005,0.0025,0.2691
Mississippi State,SEC,52,3.9,3.9,4.1,6.4,2.8795,1.5299,0.0,0.0,0.0,0.0196
Kentucky,SEC,53,3.8,3.8,5.4,8.9,2.634,1.3369,0.0,0.0,0.0,0.0134
Maryland,B1G,54,3.8,3.8,1.0,2.9,4.7701,3.5164,0.0004,0.0,0.0004,0.2979
North Carolina,ACC,55,3.8,3.8,4.9,2.1,4.0236,2.7887,0.0019,0.0003,0.0016,0.1367
California,ACC,56,3.7,3.7,0.9,4.0,4.9185,3.9217,0.0094,0.0012,0.0082,0.355
Kansas,B12,57,3.7,3.7,2.8,5.4,4.2827,3.0811,0.0031,0.0002,0.0029,0.1909
Wake Forest,ACC,58,3.6,3.6,3.4,2.4,4.9975,3.3218,0.0052,0.0007,0.0045,0.3534
UNLV,MW,59,2.8,2.8,1.8,-0.8,9.383,6.2831,0.666,0.425,0.241,0.9987
Central Florida,B12,60,2.3,2.3,2.1,3.3,4.6723,3.3987,0.0027,0.0,0.0027,0.2817
Rutgers,B1G,61,1.8,1.8,-0.2,0.8,3.9769,2.4306,0.0,0.0,0.0,0.118
Wisconsin,B1G,62,1.8,1.8,4.8,8.4,4.1735,3.2064,0.0001,0.0,0.0001,0.155
Navy,American,63,1.1,1.1,-0.7,0.9,7.6663,6.4817,0.6409,0.4061,0.2348,0.9544
Iowa State,B12,64,1.0,1.0,-0.9,0.0,3.81,2.7893,0.0014,0.0,0.0014,0.1044
Colorado,B12,65,0.9,0.9,4.5,-1.4,2.9584,2.4026,0.0005,0.0,0.0005,0.0439
West Virginia,B12,66,0.8,0.8,0.2,4.5,3.9304,2.709,0.0003,0.0,0.0003,0.125
Michigan State,B1G,67,0.4,0.4,0.3,-0.3,4.0344,2.1908,0.0,0.0,0.0,0.1234
New Mexico,MW,68,-0.5,-0.5,-3.5,-2.1,7.3037,5.5042,0.4074,0.1844,0.223,0.9142
Syracuse,ACC,69,-0.7,-0.7,-0.8,-0.2,3.1155,2.3091,0.001,0.0001,0.0009,0.0396
Memphis,American,70,-1.1,-1.1,-1.9,-1.5,6.6499,5.3952,0.2966,0.1418,0.1548,0.8075
San Diego State,PAC12,71,-1.3,-1.3,1.4,1.1,6.2512,4.6577,0.3936,0.1083,0.2853,0.6974
North Dakota State,MW,72,-1.4,-1.4,-8.3,-2.8,7.8956,5.2801,0.2766,0.1237,0.1529,0.9718
