cfbdepth_school,site_team
A&M,Texas A&M
AZSt,Arizona State
AirF,Air Force
Akr,Akron
App,Appalachian State
Ark,Arkansas
ArkSt,Arkansas State
Army,Army
Aub,Auburn
BC,Boston College
BG,Bowling Green
BYU,BYU
Ball,Ball State
Bama,Alabama
Bay,Baylor
Boise,Boise State
Buff,Buffalo
CMich,Central Michigan
Cal,California
Char,Charlotte
Cincy,Cincinnati
Clem,Clemson
CoCar,Coastal Carolina
Col,Colorado
ColSt,Colorado State
Conn,Connecticut
Cuse,Syracuse
Del,Delaware
Duke,Duke
ECU,East Carolina
EMich,Eastern Michigan
FAU,Florida Atlantic
FIU,FIU
FSU,Florida State
Fla,Florida
Fres,Fresno State
GASo,Georgia Southern
GASt,Georgia State
GATech,Georgia Tech
GaSt,Georgia State
Haw,Hawaii
Hou,Houston
IASt,Iowa State
Idaho,Idaho
Illini,Illinois
Ind,Indiana
Iowa,Iowa
JMU,James Madison
JackSt,Jacksonville State
KSt,Kansas State
KU,Kansas
KennSt,Kennesaw State
Kent,Kent State
LATech,Louisiana Tech
LSU,LSU
Lib,Liberty
Lou,Louisville
MOSt,Missouri State
MTSU,Middle Tennessee
Marsh,Marshall
Mary,Maryland
Mass,UMass
Mem,Memphis
MiaFL,Miami FL
MiaOH,Miami OH
Mich,Michigan
MichSt,Michigan State
Minn,Minnesota
Miss,Ole Miss
MissSt,Mississippi State
Mizz,Missouri
NCSt,NC State
ND,Notre Dame
NDSt,North Dakota State
NIU,Northern Illinois
NMSt,New Mexico State
NW,Northwestern
Navy,Navy
Neb,Nebraska
Nev,Nevada
NoTex,North Texas
ODU,Old Dominion
OKSt,Oklahoma State
OSU,Ohio State
OU,Oklahoma
Ohio,Ohio
Ore,Oregon
OreSt,Oregon State
PSU,Penn State
Pitt,Pittsburgh
Purd,Purdue
Rice,Rice
Rut,Rutgers
SDSU,San Diego State
SHSt,Sam Houston
SJSt,San Jose State
SMU,SMU
SMiss,Southern Miss
SacSt,Sacramento State
SoAla,South Alabama
SoCar,South Carolina
Stan,Stanford
TCU,TCU
TT,Texas Tech
Temp,Temple
Tenn,Tennessee
Tex,Texas
TexSt,Texas State
Tol,Toledo
Troy,Troy
Tul,Tulane
Tuls,Tulsa
UAB,UAB
UCF,UCF
UCLA,UCLA
UGA,Georgia
UK,Kentucky
ULLaf,Louisiana
ULM,Louisiana-Monroe
UNC,North Carolina
UNLV,UNLV
UNM,New Mexico
USC,USC
USF,South Florida
UTEP,UTEP
UTRGV,UTRGV
UTSA,UTSA
UTSt,Utah State
UVA,Virginia
UtSt,Utah State
Utah,Utah
VT,Virginia Tech
Vand,Vanderbilt
WKU,Western Kentucky
WMich,Western Michigan
WVU,West Virginia
Wake,Wake Forest
Wash,Washington
WashSt,Washington State
Wisc,Wisconsin
Wyo,Wyoming
Zona,Arizona
