game_id,date,week,away_team,home_team,away_norm,home_norm,market_spread_home,market_spread_text,market_spread_price,market_spread_book,market_spread_last_update,market_spread_display_side,market_spread_display_team,market_best_home_spread_home,market_best_home_spread_text,market_best_home_spread_price,market_best_home_spread_book,market_best_away_spread_home,market_best_away_spread_text,market_best_away_spread_price,market_best_away_spread_book,market_spread_hold_pct,market_spread_hold_label,market_spread_hold_home_line,market_spread_hold_away_line,market_total,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update,market_best_over_total,market_best_over_price,market_best_over_book,market_best_under_total,market_best_under_price,market_best_under_book,source,books_available,books_count,market_line_source,market_price_status,market_total_open
287967,2026-08-29,1,North Carolina,TCU,north carolina,tcu,-6.5,TCU -6.5,-110,FanDuel,2026-07-17T17:09:26.001534+00:00,home,TCU,-6.5,TCU -6.5,-110,FanDuel,-6.5,North Carolina +6.5,-107,Caesars,4.07,Hold +4.1%,-6.5,6.5,49.0,Caesars,-106.0,-115.0,2026-07-17T17:09:26.001534+00:00,48.5,-115.0,FanDuel,49.5,-110.0,DraftKings,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287968,2026-08-29,1,NC State,Virginia,nc state,virginia,-5.5,Virginia -5.5,-110,BetMGM,2026-07-17T17:09:26.001534+00:00,home,Virginia,-5.5,Virginia -5.5,-110,BetMGM,-5.5,NC State +5.5,-108,Caesars,4.3,Hold +4.3%,-5.5,5.5,54.5,Caesars,-115.0,-105.0,2026-07-17T17:09:26.001534+00:00,54.5,-110.0,FanDuel,54.5,-105.0,Caesars,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287969,2026-09-05,1,Baylor,Auburn,baylor,auburn,-7.0,Auburn -7,-108,DraftKings,2026-07-17T17:09:26.001534+00:00,home,Auburn,-7.0,Auburn -7,-108,DraftKings,-7.5,Baylor +7.5,-115,FanDuel,4.41,Hold +4.4%,-7.25,7.25,59.5,Caesars,-113.0,-108.0,2026-07-17T17:09:26.001534+00:00,59.5,-110.0,FanDuel,59.5,-105.0,DraftKings,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287970,2026-09-06,1,UCLA,California,ucla,california,-1.0,California -1,-112,Caesars,2026-07-17T17:09:26.001534+00:00,home,California,-1.0,California -1,-112,Caesars,-1.5,UCLA +1.5,-110,DraftKings,4.21,Hold +4.2%,-1.25,1.25,54.5,Caesars,-109.0,-112.0,2026-07-17T17:09:26.001534+00:00,53.5,-110.0,DraftKings,54.5,-110.0,FanDuel,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287971,2026-09-05,1,Clemson,LSU,clemson,lsu,-11.5,LSU -11.5,-108,Caesars,2026-07-17T17:09:26.001534+00:00,home,LSU,-11.5,LSU -11.5,-108,Caesars,-11.5,Clemson +11.5,-110,DraftKings,4.3,Hold +4.3%,-11.5,11.5,50.5,Caesars,-109.0,-110.0,2026-07-17T17:09:26.001534+00:00,50.5,-102.0,DraftKings,50.5,-102.0,FanDuel,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287972,2026-09-06,1,Louisville,Ole Miss,louisville,ole miss,-6.5,Ole Miss -6.5,-105,DraftKings,2026-07-17T17:09:26.001534+00:00,home,Ole Miss,-6.5,Ole Miss -6.5,-105,DraftKings,-6.5,Louisville +6.5,-106,FanDuel,2.68,Hold +2.7%,-6.5,6.5,55.5,Caesars,-110.0,-110.0,2026-07-17T17:09:26.001534+00:00,55.5,-110.0,Caesars,55.5,-105.0,FanDuel,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287973,2026-09-06,1,Wisconsin,Notre Dame,wisconsin,notre dame,-20.5,Notre Dame -20.5,-110,Caesars,2026-07-17T17:09:26.001534+00:00,home,Notre Dame,-20.5,Notre Dame -20.5,-110,Caesars,-20.5,Wisconsin +20.5,-108,DraftKings,4.3,Hold +4.3%,-20.5,20.5,47.5,Caesars,-112.0,-108.0,2026-07-17T17:09:26.001534+00:00,47.5,-110.0,BetMGM,47.5,-105.0,FanDuel,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287974,2026-09-12,2,Oklahoma,Michigan,oklahoma,michigan,-2.5,Michigan -2.5,-105,BetMGM,2026-07-17T17:09:26.001534+00:00,home,Michigan,-2.5,Michigan -2.5,-105,BetMGM,-2.5,Oklahoma +2.5,-104,FanDuel,2.2,Hold +2.2%,-2.5,2.5,45.5,Caesars,-109.0,-112.0,2026-07-17T17:09:26.001534+00:00,45.5,-105.0,DraftKings,45.5,-110.0,FanDuel,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
287975,2026-09-12,2,Ohio State,Texas,ohio state,texas,-1.5,Texas -1.5,-110,Caesars,2026-07-17T17:09:26.001534+00:00,home,Texas,-1.5,Texas -1.5,-110,Caesars,-1.5,Ohio State +1.5,-108,DraftKings,4.3,Hold +4.3%,-1.5,1.5,47.5,Caesars,-114.0,-107.0,2026-07-17T17:09:26.001534+00:00,47.5,-110.0,BetMGM,47.5,-105.0,DraftKings,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
288745,2026-08-29,1,San Jose State,USC,san jose state,usc,-35.5,USC -35.5,-105,FanDuel,2026-07-17T17:09:26.001534+00:00,home,USC,-35.5,USC -35.5,-105,FanDuel,-35.5,San Jose State +35.5,-110,Caesars,3.6,Hold +3.6%,-35.5,35.5,58.5,Caesars,-112.0,-108.0,2026-07-17T17:09:26.001534+00:00,58.5,-110.0,BetMGM,58.5,-105.0,FanDuel,Action Network,"BetMGM,Caesars,DraftKings,FanDuel",4,Action Network,actual,
